VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-02-01 00:57:30,2023-02-01 01:19:12,1.0,7.69,1.0,N,79,238,1,34.5,1.0,0.5,5.92,0.0,1.0,45.42,2.5,0.0
2,2023-02-01 00:35:09,2023-02-01 00:40:46,1.0,1.68,1.0,N,249,107,2,8.6,1.0,0.5,0.0,0.0,1.0,13.6,2.5,0.0
1,2023-02-01 00:50:08,2023-02-01 00:59:28,1.0,3.1,1.0,N,264,264,2,14.9,3.5,0.5,0.0,0.0,1.0,19.9,2.5,0.0
2,2023-02-01 00:10:19,2023-02-01 00:30:23,1.0,5.78,1.0,N,158,263,1,27.5,1.0,0.5,5.0,0.0,1.0,37.5,2.5,0.0
1,2023-02-01 00:07:41,2023-02-01 00:13:20,1.0,1.1,1.0,N,229,170,1,7.2,3.5,0.5,2.4,0.0,1.0,14.6,2.5,0.0
1,2023-02-01 00:18:16,2023-02-01 00:32:59,1.0,4.7,1.0,N,170,260,1,20.5,3.5,0.5,5.1,0.0,1.0,30.6,2.5,0.0
1,2023-02-01 00:08:09,2023-02-01 00:12:19,1.0,0.8,1.0,N,158,249,1,5.8,3.5,0.5,2.15,0.0,1.0,12.95,2.5,0.0
1,2023-02-01 00:32:45,2023-02-01 00:44:47,1.0,2.8,1.0,N,237,249,1,15.6,3.5,0.5,5.15,0.0,1.0,25.75,2.5,0.0
1,2023-02-01 00:10:58,2023-02-01 00:18:52,1.0,1.3,1.0,N,79,164,1,8.6,3.5,0.5,2.0,0.0,1.0,15.6,2.5,0.0
2,2023-02-01 00:53:23,2023-02-01 01:02:43,1.0,1.66,1.0,N,211,107,1,11.4,1.0,0.5,2.22,0.0,1.0,18.62,2.5,0.0
